City,Country,Average of PostCode,PropertyMedianValue,State,StateCode,Suburb,UpdatedMonth,UpdatedYear
Sydney,Australia,2715.00,,New South Wales,NSW,Arumpo,6,2017
Sydney,Australia,2193.00,739000,New South Wales,NSW,Ashbury,6,2017
Sydney,Australia,2463.00,406000,New South Wales,NSW,Ashby,6,2017
Sydney,Australia,2463.00,406000,New South Wales,NSW,Ashby Heights,6,2017
Sydney,Australia,2463.00,406000,New South Wales,NSW,Ashby Island,6,2017
Sydney,Australia,2168.00,710000,New South Wales,NSW,Ashcroft,6,2017
Sydney,Australia,2131.00,779000,New South Wales,NSW,Ashfield,6,2017
Sydney,Australia,2361.00,,New South Wales,NSW,Ashford,6,2017
Sydney,Australia,2400.00,131500,New South Wales,NSW,Ashley,6,2017
Sydney,Australia,2650.00,344500,New South Wales,NSW,Ashmont,6,2017
Sydney,Australia,2323.00,414500,New South Wales,NSW,Ashtonfield,6,2017
Sydney,Australia,2077.00,770000,New South Wales,NSW,Asquith,6,2017
Sydney,Australia,2361.00,,New South Wales,NSW,Atholwood,6,2017
Sydney,Australia,2345.00,,New South Wales,NSW,Attunga,6,2017
Sydney,Australia,2144.00,658500,New South Wales,NSW,Auburn,6,2017
Sydney,Australia,2360.00,251000,New South Wales,NSW,Auburn Vale,6,2017
Sydney,Australia,2232.00,1000000,New South Wales,NSW,Audley,6,2017
Sydney,Australia,2587.00,,New South Wales,NSW,Aurville,6,2017
Sydney,Australia,2515.00,970000,New South Wales,NSW,Austinmer,6,2017
Sydney,Australia,2179.00,,New South Wales,NSW,Austral,6,2017
Sydney,Australia,2440.00,329000,New South Wales,NSW,Austral Eden,6,2017
Sydney,Australia,2107.00,1630000,New South Wales,NSW,Avalon Beach,6,2017
Sydney,Australia,2850.00,369000,New South Wales,NSW,Avisford,6,2017
Sydney,Australia,2577.00,753000,New South Wales,NSW,Avoca,6,2017
Sydney,Australia,2251.00,747500,New South Wales,NSW,Avoca Beach,6,2017
Sydney,Australia,2574.00,755000,New South Wales,NSW,Avon,6,2017
Sydney,Australia,2530.00,600000,New South Wales,NSW,Avondale,6,2017
Sydney,Australia,2628.00,,New South Wales,NSW,Avonside,6,2017
Sydney,Australia,2283.00,515500,New South Wales,NSW,Awaba,6,2017
Sydney,Australia,2575.00,695000,New South Wales,NSW,Aylmerton,6,2017
Sydney,Australia,2390.00,320000,New South Wales,NSW,Baan Baa,6,2017
Sydney,Australia,2825.00,,New South Wales,NSW,Babinda,6,2017
Sydney,Australia,2470.00,265000,New South Wales,NSW,Babyl Creek,6,2017
Sydney,Australia,2491.57,2539560,New South Wales,NSW,Back Creek,42,14119
Sydney,Australia,2535.00,657500,New South Wales,NSW,Back Forest,6,2017
Sydney,Australia,2470.00,265000,New South Wales,NSW,Backmede,6,2017
Sydney,Australia,2365.00,,New South Wales,NSW,Backwater,6,2017
Sydney,Australia,2630.00,280000,New South Wales,NSW,Badja,6,2017
Sydney,Australia,2333.00,283250,New South Wales,NSW,Baerami,6,2017
Sydney,Australia,2333.00,283250,New South Wales,NSW,Baerami Creek,6,2017
Sydney,Australia,2446.00,473000,New South Wales,NSW,Bagnoo,6,2017
Sydney,Australia,2588.00,473000,New South Wales,NSW,Bago,12,4034
Sydney,Australia,2477.00,583750,New South Wales,NSW,Bagotville,6,2017
Sydney,Australia,2409.00,945560,New South Wales,NSW,Bakers Creek,18,6051
Sydney,Australia,2820.00,180000,New South Wales,NSW,Bakers Swamp,6,2017
Sydney,Australia,2358.00,285000,New South Wales,NSW,Balala,6,2017
Sydney,Australia,2264.00,580000,New South Wales,NSW,Balcolyn,6,2017
Sydney,Australia,2365.00,,New South Wales,NSW,Bald Blair,6,2017
Sydney,Australia,2549.00,452500,New South Wales,NSW,Bald Hills,6,2017
Sydney,Australia,2370.00,227500,New South Wales,NSW,Bald Nob,6,2017
Sydney,Australia,2795.00,407500,New South Wales,NSW,Bald Ridge,6,2017
Sydney,Australia,2365.00,,New South Wales,NSW,Baldersleigh,6,2017
Sydney,Australia,2402.00,,New South Wales,NSW,Balfours Peak,6,2017
Sydney,Australia,2093.00,1470000,New South Wales,NSW,Balgowlah,6,2017
Sydney,Australia,2093.00,1470000,New South Wales,NSW,Balgowlah Heights,6,2017
