Country,State,StateCode,City,Suburb,Average of PostCode,PropertyMedianValue,Average of Average of Latitude,Average of Average of Longitude,UpdatedMonth,UpdatedYear
Australia,New South Wales,NSW,Albury,Parliament House,2000,1044350,,,6,2017
Australia,New South Wales,NSW,Albury,South Albury,2640,0,-36.097002,146.915213,0,0
Australia,New South Wales,NSW,Albury,Splitters Creek,2640,0,-36.063828,146.844998,0,0
Australia,New South Wales,NSW,Albury,Springdale Heights,2641,0,-36.033316,146.94484,0,0
Australia,New South Wales,NSW,Albury,Table Top,2640,0,-35.98027,147.000325,0,0
Australia,New South Wales,NSW,Albury,Talmalmo,2640,0,-35.958207,147.558379,0,0
Australia,New South Wales,NSW,Albury,Thurgoona,2640,0,-36.044475,146.989961,0,0
Australia,New South Wales,NSW,Albury,West Albury,2640,0,-36.073344,146.890443,0,0
Australia,New South Wales,NSW,Albury,Wirlinga,2640,0,-36.069726,147.013164,0,0
Australia,New South Wales,NSW,Albury,Wymah,2640,0,-35.997177,147.265503,0,0
Australia,New South Wales,NSW,Armidale,Aberfoyle,2350,0,-30.240605,152.012929,0,0
Australia,New South Wales,NSW,Armidale,Abington,2350,0,-30.326739,151.240618,0,0
Australia,New South Wales,NSW,Armidale,Argyle,2350,0,-30.523571,151.791612,0,0
Australia,New South Wales,NSW,Armidale,Armidale,2350,0,-30.514166,151.668986,0,0
Australia,New South Wales,NSW,Armidale,Bona Vista,2350,0,-30.522294,151.639142,0,0
Australia,New South Wales,NSW,Armidale,Boorolong,2350,0,-30.329789,151.53254,0,0
Australia,New South Wales,NSW,Armidale,Castle Doyle,2350,0,-30.586704,151.75801,0,0
Australia,New South Wales,NSW,Armidale,Dangarsleigh,2350,0,-30.614162,151.677892,0,0
Australia,New South Wales,NSW,Armidale,Donald Creek,2350,0,-30.448075,151.73312,0,0
Australia,New South Wales,NSW,Armidale,Dumaresq,2350,0,-30.471304,151.615768,0,0
Australia,New South Wales,NSW,Armidale,Duval,2350,0,-30.491998,151.671187,0,0
Australia,New South Wales,NSW,Armidale,Enmore,2350,0,-30.721541,151.731619,0,0
Australia,New South Wales,NSW,Armidale,Hillgrove,2350,0,-30.569822,151.904484,0,0
Australia,New South Wales,NSW,Armidale,Invergowrie,2350,0,-30.497561,151.498196,0,0
Australia,New South Wales,NSW,Armidale,Jeogla,2350,0,-30.571894,152.110822,0,0
Australia,New South Wales,NSW,Armidale,Kellys Plains,2350,0,-30.554866,151.633136,0,0
Australia,New South Wales,NSW,Armidale,Lyndhurst,2350,0,-30.367137,151.988725,0,0
Australia,New South Wales,NSW,Armidale,Puddledock,2350,0,-30.384216,151.748624,0,0
Australia,New South Wales,NSW,Armidale,Saumarez,2350,0,-30.556537,151.585106,0,0
Australia,New South Wales,NSW,Armidale,Saumarez Ponds,2350,0,-30.507476,151.568904,0,0
Australia,New South Wales,NSW,Armidale,Thalgarrah,2350,0,-30.447361,151.850631,0,0
Australia,New South Wales,NSW,Armidale,Tilbuster,2350,0,-30.474503,151.679436,0,0
Australia,New South Wales,NSW,Armidale,University Of New England,2351,0,-30.49299,151.639714,0,0
Australia,New South Wales,NSW,Armidale,Wards Mistake,2350,0,-30.133611,152.005072,0,0
Australia,New South Wales,NSW,Armidale,West Armidale,2350,0,-30.502957,151.650203,0,0
Australia,New South Wales,NSW,Armidale,Wollomombi,2350,0,-30.51134,152.045007,0,0
Australia,New South Wales,NSW,Armidale,Wongwibinda,2350,0,-30.298431,152.170806,0,0
Australia,New South Wales,NSW,Bathurst,Bathurst,2795,0,-33.41978,149.574258,0,0
Australia,New South Wales,NSW,Bathurst,Broadway,2007,1051540,,,6,2017
Australia,New South Wales,NSW,Bathurst,Lake Bathurst,2580,0,-35.012657,149.714504,0,0
Australia,New South Wales,NSW,Bathurst,South Bathurst,2795,0,-33.440113,149.578565,0,0
Australia,New South Wales,NSW,Bathurst,Sydney,2000,1044350,,,6,2017
Australia,New South Wales,NSW,Bathurst,Sydney South,2000,1044350,,,6,2017
